3354	1.0000
4780	1.0000
9817	1.0000
3091	1.0000
3551	1.0000
10663	1.0000
57521	1.0000
2359	1.0000
5289	1.0000
27199	1.0000
997	1.0000
9978	1.0000
59340	1.0000
5925	1.0000
1977	1.0000
11065	1.0000
51529	1.0000
347148	1.0000
128674	1.0000
8620	1.0000
10886	1.0000
29	1.0000
4113	1.0000
94233	1.0000
3361	1.0000
57413	1.0000
6171	1.0000
6224	1.0000
259296	1.0000
6167	1.0000
2852	1.0000
80024	1.0000
9263	1.0000
6205	1.0000
23536	1.0000
3274	1.0000
9340	1.0000
6218	1.0000
155	1.0000
836	1.0000
4361	1.0000
4683	1.0000
8453	1.0000
4292	1.0000
5395	1.0000
6921	1.0000
23118	1.0000
6885	1.0000
10892	1.0000
8915	1.0000
842	1.0000
7248	1.0000
7249	1.0000
1027	1.0000
2072	1.0000
6654	1.0000
2932	1.0000
8312	1.0000
79728	1.0000
572	1.0000
5058	1.0000
5879	1.0000
890	1.0000
8737	1.0000
4149	1.0000
2237	1.0000
10454	1.0000
1399	1.0000
6923	1.0000
10111	1.0000
7520	1.0000
891	1.0000
983	1.0000
5295	1.0000
3667	1.0000
355	1.0000
3981	1.0000
7518	1.0000
1643	1.0000
6500	1.0000
6502	1.0000
8454	1.0000
10018	1.0000
7124	1.0000
1499	1.0000
999	1.0000
1642	1.0000
8451	1.0000
7516	1.0000
3654	1.0000
7189	1.0000
9184	1.0000
84557	1.0000
8878	1.0000
6256	1.0000
3265	1.0000
5894	1.0000
5366	1.0000
29945	1.0000
317	1.0000
